src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.0.1,192.168.0.102,34729,59196,UDP,7.256385087966919,0.30234937866528827,0.9993653100692658,3.305332772572354,0,7410,0.0,24,0,0.6501313664696433,1.396146763520071,0.0,0.0
192.168.0.102,51.116.246.105,443,51213,TCP,9.480835914611816,0.7900696595509847,2.2727108274678183,2.8765955001479915,4260,102,0.023943661971830985,5,7,1.5789872407913208,2.8964823347298347,0.5,1.0
192.168.0.102,40.74.98.193,443,51256,TCP,1.2065880298614502,0.05027450124422709,0.07483970987505137,1.488621627721171,5914,5200,0.8792695299289821,11,13,0.05938930944962935,0.07366062756333057,0.5,1.0
13.107.136.10,192.168.0.102,443,51202,TCP,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0.0
157.240.242.35,192.168.0.102,443,55932,UDP,23.266140460968018,0.567466840511415,2.924175114783953,5.1530325756983695,8341,9234,1.1070615034168565,20,21,1.1422569446074657,4.111951923989273,0.0,0.0
192.168.0.103,239.255.255.250,1900,36217,UDP,105.37557482719421,26.343893706798553,27.261765486138263,1.0348419178104578,0,500,0.0,4,0,19.374744772911072,18.01061713695526,0.0,0.0
157.240.242.13,192.168.0.102,443,51235,TCP,860.717583656311,0.21664172757521044,1.3480328287161076,6.2224061994156585,1969116,23220,0.01179209350794976,1750,2223,0.4031810407974858,1.843773801771176,0.5216392186901571,0.9838472834067548
192.168.0.102,239.255.255.250,1900,59196,UDP,3.0406863689422607,1.5203431844711304,1.5203431844711304,1.0,274,0,0.0,0,2,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,1900,59196,UDP,3.0254786014556885,1.5127393007278442,1.5127393007278442,1.0,0,666,0.0,2,0,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,49181,UDP,0.023920774459838867,0.011960387229919434,0.011960387229919434,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,56088,UDP,664.2995307445526,94.89993296350751,232.32679019824968,2.4481238599777284,0,0,0.0,5,2,265.5713161945343,325.21628969290055,0.0,0.0
172.217.194.188,192.168.0.102,5228,51241,TCP,860.4784030914307,12.292548615591867,14.87443432077378,1.2100366478849673,17,0,0.0,34,36,8.89788449161193,9.581271112416507,0.0,0.0
192.168.0.102,52.168.117.168,443,51258,TCP,7.652457237243652,0.2638778357670225,1.0065799226794088,3.8145679031872812,4627,6986,1.5098335854765508,14,15,0.4593719553064417,1.2762735696268002,0.7058823529411765,1.0
192.168.0.102,52.168.117.168,443,51259,TCP,7.408771276473999,0.3527986322130476,1.1756759334425853,3.3324276969776334,2412,6671,2.76575456053068,11,10,0.44370946131254496,1.2200116919048996,0.5,1.0
13.107.138.10,192.168.0.102,443,51201,TCP,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,61340,UDP,80.01370692253113,6.667808910210927,17.34148690835199,2.600777428068708,0,0,0.0,6,6,12.370409655570985,21.298098332335712,0.0,0.0
192.168.0.102,45.64.115.139,80,51260,TCP,110.02022910118103,3.143435117176601,10.54261350381256,3.353851156718584,2478,10103,4.077078288942696,16,19,5.370370857643358,12.305809490877017,0.0,0.0
192.168.0.1,192.168.0.102,1900,51261,TCP,0.05070900917053223,0.004225750764211019,0.004936746632050317,1.1682531477864022,191,3748,19.623036649214658,6,6,0.004021215438842774,0.003826596601371805,0.0,0.0
192.168.0.1,192.168.0.102,1900,51262,TCP,0.6948757171630859,0.06317051974209872,0.18805699070964368,2.9769739346361095,260,144,0.5538461538461539,6,5,0.07506163914998372,0.2016225678407799,0.0,0.0
192.168.0.1,192.168.0.102,1900,51263,TCP,0.19414520263671875,0.01617876688639323,0.017713567575642464,1.094865121676241,613,538,0.8776508972267537,6,6,0.02034282684326172,0.015581089023192003,0.0,0.0
192.168.0.1,192.168.0.102,361,2869,TCP,0.09263777732849121,0.010293086369832357,0.01520299120791681,1.4770099717102072,125,966,7.728,5,4,0.01629260608128139,0.016356486442170404,0.0,0.0
142.250.192.36,192.168.0.102,443,61221,UDP,37.41635870933533,0.05368200675657866,0.8186427891572522,15.2498544413474,26262,430260,16.383367603381313,498,199,0.09476623638070744,1.154444469266446,0.0,0.0
192.168.0.1,192.168.0.102,1900,51264,TCP,0.22271323204040527,0.018559436003367107,0.018392624103720542,0.9910120167651484,627,520,0.8293460925039873,6,6,0.011886215209960938,0.01458284051251301,0.0,0.0
192.168.0.1,192.168.0.102,1900,51265,TCP,0.155717134475708,0.012976427872975668,0.023076940655167726,1.778373900819585,621,554,0.8921095008051529,6,6,0.019176840782165527,0.026913248852814226,0.0,0.0
192.168.0.1,192.168.0.102,1900,51266,TCP,0.05197882652282715,0.004331568876902263,0.003908728224140279,0.9023816393601064,638,518,0.8119122257053292,6,6,0.0028208255767822265,0.0024522442420175563,0.0,0.0
192.168.0.1,192.168.0.102,1900,51267,TCP,0.062435150146484375,0.005202929178873698,0.004382015293798622,0.8422208227610772,640,518,0.809375,6,6,0.0027739763259887694,0.0032660865888847197,0.0,0.0
192.168.0.1,192.168.0.102,1900,51268,TCP,0.041710615158081055,0.0034758845965067544,0.00500365481000681,1.43953421671003,638,515,0.8072100313479624,6,6,0.003951907157897949,0.004006840014598108,0.0,0.0
192.168.0.1,192.168.0.102,53,53118,UDP,0.01663994789123535,0.008319973945617676,0.008319973945617676,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,61639,UDP,0.019468307495117188,0.009734153747558594,0.009734153747558594,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
142.250.183.78,192.168.0.102,443,62857,UDP,47.5477237701416,0.038782808947913215,0.6349426776173941,16.371755807325513,61356,1073850,17.501955798943868,976,250,0.06601875723139342,0.8893069763278342,0.0,0.0
192.168.0.1,192.168.0.102,1900,51269,TCP,0.2391207218170166,0.019926726818084717,0.05139770640633381,2.579335124908084,628,522,0.8312101910828026,6,6,0.03752257823944092,0.064516926516234,0.0,0.0
192.168.0.1,192.168.0.102,1900,51270,TCP,0.021839618682861328,0.0018199682235717773,0.0012445664514350054,0.6838396601191654,632,522,0.8259493670886076,6,6,0.0009363889694213867,0.0010018690045903878,0.0,0.0
192.168.0.1,192.168.0.102,1900,51271,TCP,0.03091120719909668,0.0025759339332580566,0.0029032104564884124,1.1270515982591272,630,520,0.8253968253968254,6,6,0.0030801057815551757,0.0031361445015318104,0.0,0.0
192.168.0.1,192.168.0.102,1900,51272,TCP,0.033228397369384766,0.002769033114115397,0.004549909935944156,1.6431403123171688,634,520,0.8201892744479495,6,6,0.00227663516998291,0.004083189863994062,0.0,0.0
104.215.18.215,192.168.0.102,443,65169,TCP,852.882529258728,8.792603394419876,13.830328630639247,1.5729503550013988,1121,1008,0.8991971454058876,39,58,13.665750104502628,15.074377697793585,0.7017543859649122,1.0
157.240.242.55,192.168.0.102,443,51234,TCP,858.3910460472107,4.447622000244615,9.433510528363323,2.121023443054398,17335,6095,0.35160080761465246,95,98,7.962838066810089,11.23739398292254,0.6929824561403509,1.0
142.250.76.170,192.168.0.102,443,65256,UDP,3.7014341354370117,0.06983837991390589,0.40731458511582636,5.8322456164926555,6513,21798,3.3468447719944727,31,22,0.12558279785455442,0.5286764315333056,0.0,0.0
192.168.0.1,192.168.0.102,53,58340,UDP,0.01032400131225586,0.00516200065612793,0.00516200065612793,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,64215,UDP,0.14661955833435059,0.029323911666870116,0.04021597069465618,1.3714394979606972,0,0,0.0,4,1,0.055472612380981445,0.032533430071791464,0.0,0.0
142.250.70.118,192.168.0.102,443,49665,UDP,7.763433933258057,0.026770461838820887,0.3877037753426441,14.482520984394068,8676,256975,29.61906408483172,215,75,0.05000188384022746,0.550831186132449,0.0,0.0
192.168.0.1,192.168.0.102,53,56578,UDP,0.02343010902404785,0.011715054512023926,0.011715054512023926,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,50094,UDP,0.024709224700927734,0.012354612350463867,0.012354612350463867,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
142.251.42.67,192.168.0.102,443,51685,UDP,0.061495065689086914,0.0034163925382826063,0.0038728119007555867,1.1335968737077324,4015,8611,2.1447073474470733,10,8,0.004009529948234558,0.003593942570014556,0.0,0.0
142.251.42.3,192.168.0.102,443,65058,UDP,0.028858661651611328,0.0032065179612901476,0.005841664463683118,1.821809368980648,265,215,0.8113207547169812,5,4,0.0030949796949114117,0.0038299298349027022,0.0,0.0
192.168.0.1,192.168.0.102,53,63372,UDP,0.00450897216796875,0.002254486083984375,0.002254486083984375,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,60200,UDP,0.006624937057495117,0.0033124685287475586,0.0033124685287475586,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
142.250.77.34,192.168.0.102,443,64880,UDP,0.3139526844024658,0.010825954634567788,0.016018564981655447,1.4796445692195501,5411,9459,1.74810571058954,15,14,0.01322715370743363,0.01595715611712779,0.0,0.0
192.168.0.102,20.198.118.190,443,65135,TCP,855.3071908950806,8.90944990515709,12.950803340618181,1.4536030258301156,860,3654,4.248837209302326,38,58,12.978608633609529,13.341060586854084,0.7454545454545455,1.0
192.168.0.102,52.123.164.131,443,65175,TCP,841.6812508106232,4.429901320055912,10.392549072868094,2.3460001300292905,25488,4373,0.17157093534212178,104,86,7.0278336431117765,12.008583933053153,1.375,1.0
142.250.192.74,192.168.0.102,443,63484,UDP,1.0794932842254639,0.032711917703801933,0.08412368054606655,2.5716523655930232,5133,10488,2.043249561659848,18,15,0.05142648758426789,0.10181790416961548,0.0,0.0
13.107.139.11,192.168.0.102,443,51242,TCP,36.24479579925537,7.248959159851074,11.57789156181725,1.597179858032903,0,0,0.0,3,2,17.793258984883625,12.845947462398213,0.0,0.0
192.168.0.1,192.168.0.102,53,60071,UDP,0.003986358642578125,0.0019931793212890625,0.0019931793212890625,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,54278,UDP,0.0057430267333984375,0.0028715133666992188,0.0028715133666992188,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
104.26.7.247,192.168.0.102,443,63588,UDP,0.9789841175079346,0.01483309268951416,0.03041978078379226,2.0508050088095704,5881,30386,5.166808365924163,40,26,0.014315154403448105,0.027978428551587647,0.0,0.0
104.26.7.247,192.168.0.102,443,51273,TCP,0.5901544094085693,0.036884650588035583,0.041878458125264154,1.135389856149225,1824,3985,2.1847587719298245,7,9,0.045012167521885464,0.03943887750745392,0.3333333333333333,1.0
142.250.192.74,192.168.0.102,443,51274,TCP,0.5035486221313477,0.03147178888320923,0.07796482017746531,2.477292297136022,2260,2433,1.0765486725663718,8,8,0.034686923027038574,0.0809033444678606,0.3333333333333333,1.0
192.168.0.1,192.168.0.102,53,53352,UDP,351.97353863716125,87.99338465929031,152.39518190647036,1.7318936246917116,0,0,0.0,2,2,175.97314131259918,175.9628130197525,0.0,0.0
192.168.0.1,192.168.0.102,53,51891,UDP,661.9024195671082,165.47560489177704,286.5931055850817,1.731935687876874,0,0,0.0,2,2,330.93784070014954,330.91821479797363,0.0,0.0
142.250.70.110,192.168.0.102,443,51275,TCP,35.44245100021362,1.0126414571489606,5.079992604131046,5.016575776418933,2997,9203,3.0707374040707376,18,17,1.8428289673545144,6.696401151249466,0.6666666666666666,1.0
142.250.183.142,192.168.0.102,443,51243,TCP,0.061309814453125,0.020436604817708332,0.014804967120715344,0.7244337918540574,0,0,0.0,1,2,0.018828868865966797,0.0,0.0,0.0
142.250.76.170,192.168.0.102,443,64685,UDP,7.67381739616394,0.2557939132054647,1.2985043659161448,5.076369291372193,6844,5852,0.8550555230859147,17,13,0.5344190086637225,1.8549412500849054,0.0,0.0
142.250.183.14,192.168.0.102,443,57835,UDP,0.195267915725708,0.0097633957862854,0.016453412365024404,1.6852141125054503,3148,6100,1.937738246505718,11,9,0.010352399614122178,0.019264019821551216,0.0,0.0
192.168.0.1,192.168.0.102,53,62878,UDP,0.011811494827270508,0.005905747413635254,0.005905747413635254,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,63812,UDP,0.4765043258666992,0.09530086517333984,0.09314750335073323,0.9774045931409969,0,0,0.0,4,1,0.05096618334452311,0.038779097882922935,0.0,0.0
142.250.183.170,192.168.0.102,443,60959,UDP,0.44362854957580566,0.013863392174243927,0.025085161037355204,1.8094533229723975,7147,10296,1.4406044494193369,16,16,0.015755860010782878,0.024110919100915788,0.0,0.0
192.168.0.1,192.168.0.102,53,56700,UDP,0.0313875675201416,0.0156937837600708,0.0156937837600708,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,58655,UDP,0.04979968070983887,0.024899840354919434,0.024899840354919434,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,55878,UDP,0.048137664794921875,0.024068832397460938,0.024068832397460938,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,58820,UDP,0.5252952575683594,0.10505905151367187,0.13085323642975177,1.2455208241883202,0,0,0.0,4,1,0.1869339942932129,0.12209273108846706,0.0,0.0
142.251.42.67,192.168.0.102,443,61376,UDP,0.3690836429595947,0.020504646831088595,0.03651724299619299,1.7809252359726833,4052,8623,2.1280848963474828,11,7,0.030135273933410645,0.03948243406181256,0.0,0.0
142.251.42.78,192.168.0.102,443,59200,UDP,9.56519103050232,0.2732911723000663,1.513857524056493,5.539357569860759,8616,7021,0.8148792943361188,19,16,0.5654347809878263,2.1464640482608575,0.0,0.0
157.240.242.14,192.168.0.102,443,51236,TCP,854.5341329574585,3.9379453131680116,7.005157375291507,1.7788864034924787,1694,1484,0.8760330578512396,109,108,7.759427060637363,8.211511871982827,0.954954954954955,1.0
192.168.0.1,192.168.0.102,1900,51276,TCP,0.11602234840393066,0.00892479603107159,0.009425127703721213,1.0560608523609643,191,3748,19.623036649214658,7,6,0.008611657402732155,0.00882265254385471,0.0,0.0
157.240.242.14,192.168.0.102,443,51233,TCP,853.9064526557922,3.9350527772156325,7.1754016881017115,1.8234575479261774,1692,1511,0.8930260047281324,110,107,7.683044520089792,8.486155578992857,0.9727272727272728,1.0
192.168.0.1,192.168.0.102,1900,51277,TCP,1.3583409786224365,0.1234855435111306,0.3653198262953859,2.9584015740470635,260,144,0.5538461538461539,6,5,0.16632458567619324,0.41664058509019763,0.0,0.0
192.168.0.1,192.168.0.102,1900,51278,TCP,0.7808215618133545,0.06506846348444621,0.11048265008540582,1.6979446596555225,613,538,0.8776508972267537,6,6,0.0877408504486084,0.11966640734862108,0.0,0.0
192.168.0.1,192.168.0.102,362,2869,TCP,0.6512815952301025,0.07236462169223362,0.1087371098819849,1.5026280430849661,125,966,7.728,5,4,0.0914996692112514,0.08207187030045478,0.0,0.0
192.168.0.1,192.168.0.102,53,54709,UDP,0.12841343879699707,0.06420671939849854,0.06420671939849854,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,64070,UDP,0.12171196937561035,0.060855984687805176,0.060855984687805176,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
142.251.42.2,192.168.0.102,443,61312,UDP,4.69672417640686,0.12042882503607334,0.42505031960049555,3.529473275797349,6113,10695,1.7495501390479307,21,18,0.19228766415570234,0.5277053021189507,0.0,0.0
13.67.9.5,192.168.0.102,443,51212,TCP,0.6674654483795166,0.13349308967590331,0.2632596924152592,1.9720847952085412,0,0,0.0,2,3,0.21964812278747559,0.30737139311727046,0.0,0.0
192.168.0.1,192.168.0.102,1900,51279,TCP,0.16136789321899414,0.013447324434916178,0.01765204978313406,1.3126811856565497,627,520,0.8293460925039873,6,6,0.01713848114013672,0.01577961031009712,0.0,0.0
192.168.0.1,192.168.0.102,1900,51280,TCP,0.48464012145996094,0.04038667678833008,0.10353919730491515,2.563696880720656,638,518,0.8119122257053292,6,6,0.08233420848846436,0.14861990612803538,0.0,0.0
142.251.42.2,192.168.0.102,443,51281,TCP,33.28450012207031,1.5129318237304688,6.085859837572271,4.022560529241982,1808,6360,3.517699115044248,11,11,2.971445548534393,8.322298751725727,0.2222222222222222,1.0
192.168.0.1,192.168.0.102,1900,51282,TCP,0.47176194190979004,0.03931349515914917,0.10460509986901771,2.660793690450432,621,554,0.8921095008051529,6,6,0.04479153156280517,0.11037775066600237,0.0,0.0
192.168.0.1,192.168.0.102,1900,51283,TCP,0.10917854309082031,0.009098211924235025,0.013850250184473124,1.52230463521959,640,518,0.809375,6,6,0.00657801628112793,0.01241306219585522,0.0,0.0
192.168.0.1,192.168.0.102,53,54291,UDP,0.014827728271484375,0.0074138641357421875,0.0074138641357421875,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.102,53,60523,UDP,0.7200460433959961,0.14400920867919922,0.17304310163968625,1.2016113637924648,0,0,0.0,4,1,0.29218196868896484,0.14009545725518613,0.0,0.0
192.168.0.1,192.168.0.102,1900,51284,TCP,0.06984567642211914,0.005820473035176595,0.005053231068376122,0.8681821971919513,638,515,0.8072100313479624,6,6,0.0029785633087158203,0.001962420248400664,0.0,0.0
142.250.76.170,192.168.0.102,443,55315,UDP,0.5429935455322266,0.023608415023140285,0.039910710608949025,1.6905290156001451,4489,9690,2.1586099353976387,14,9,0.040662595203944614,0.04651759653697763,0.0,0.0
192.168.0.1,192.168.0.102,1900,51285,TCP,0.10296249389648438,0.008580207824707031,0.011940581954369601,1.3916425101017071,628,522,0.8312101910828026,6,6,0.007858967781066895,0.009918909321488983,0.0,0.0
192.168.0.102,204.79.197.203,443,51218,TCP,0.22390103340148926,0.07463367780049641,0.10482285993752917,1.4044981170260908,0,0,0.0,2,1,0.0010266304016113281,0.0,0.0,0.0
150.171.28.10,192.168.0.102,443,51217,TCP,0.2231903076171875,0.07439676920572917,0.1045024566426985,1.4046639089087076,0,0,0.0,2,1,0.0010058879852294922,0.0,0.0,0.0
192.168.0.102,52.231.230.148,443,51216,TCP,0.32908177375793457,0.16454088687896729,0.16454088687896729,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.102,23.221.34.69,443,51248,TCP,0.1255800724029541,0.02511601448059082,0.0370351070213157,1.4745614615700962,0,24,0.0,2,3,0.03273137410481771,0.037886111583083186,0.25,1.0
18.172.64.16,192.168.0.102,443,51219,TCP,0.12523484230041504,0.02504696846008301,0.037518429791125026,1.4979229862056003,0,24,0.0,2,3,0.03495462735493978,0.0369333232695912,0.25,1.0
192.168.0.102,204.79.197.203,443,51220,TCP,0.1764993667602539,0.05883312225341797,0.0813453136655268,1.382644852930629,0,0,0.0,2,1,0.0026366710662841797,0.0,0.0,0.0
192.168.0.102,204.79.197.203,443,51214,TCP,0.2571678161621094,0.0428613026936849,0.05571491367773385,1.299888481596309,0,0,0.0,3,3,0.05550658702850342,0.05495264758120775,0.0,0.0
192.168.0.102,20.255.46.225,443,51215,TCP,0.28963184356689453,0.09654394785563152,0.13163004213519014,1.3634209607009768,0,0,0.0,1,2,0.006978511810302734,0.0,0.0,0.0
13.107.21.239,192.168.0.102,443,51250,TCP,0.31058382987976074,0.05176397164662679,0.0778735565482886,1.5043968627427229,0,0,0.0,3,3,0.07410424947738647,0.08317853753502223,0.0,0.0
13.107.246.58,192.168.0.102,443,51238,TCP,0.23273754119873047,0.07757918039957683,0.10476230268297725,1.3503919755711764,0,0,0.0,1,2,0.007058143615722656,0.0,0.0,0.0
13.107.246.58,192.168.0.102,443,51247,TCP,0.2772500514984131,0.09241668383280437,0.11774150302176455,1.2740286508740843,0,0,0.0,1,2,0.018671035766601562,0.0,0.0,0.0
192.168.0.102,204.79.197.239,443,51249,TCP,0.2672398090362549,0.044539968172709145,0.06345008736565841,1.4245651707613032,0,0,0.0,3,3,0.0621984601020813,0.06635763494401378,0.0,0.0
192.168.0.1,192.168.0.102,1900,51286,TCP,0.10387110710144043,0.008655925591786703,0.010456197802858593,1.207981479505797,632,522,0.8259493670886076,6,6,0.007537698745727539,0.008406946554879835,0.0,0.0
142.250.76.170,192.168.0.102,443,51287,TCP,32.527425050735474,1.301097002029419,5.734724995639458,4.40760757014625,1812,11883,6.55794701986755,15,10,2.5515254269475522,7.8600520050459775,0.19047619047619047,1.0
192.168.0.1,192.168.0.102,1900,51288,TCP,0.10416769981384277,0.008680641651153564,0.009653056375687403,1.112021065217525,630,520,0.8253968253968254,6,6,0.007851147651672363,0.010812318425634265,0.0,0.0
192.168.0.102,52.123.173.249,443,65160,TCP,851.4085648059845,10.915494420589544,15.001268951188846,1.374309616511043,928,799,0.8609913793103449,31,47,14.200378204646864,15.784405131173823,0.7333333333333333,1.0
192.168.0.1,192.168.0.102,1900,51289,TCP,0.06496810913085938,0.005414009094238281,0.005790023670777077,1.0694521508910946,634,520,0.8201892744479495,6,6,0.003902745246887207,0.004172200568996366,0.0,0.0
142.250.76.170,192.168.0.102,443,63516,UDP,0.3217179775238037,0.012373768366300143,0.017219320721922574,1.3915987605537576,7624,6246,0.8192549842602308,14,12,0.014170279105504354,0.015752242124145298,0.0,0.0
192.168.0.1,192.168.0.102,1900,51290,TCP,0.08268499374389648,0.008268499374389648,0.00992593897856079,1.2004522863368408,184,166,0.9021739130434783,5,5,0.007224321365356445,0.006885122302853319,0.0,0.0
142.251.10.84,192.168.0.102,443,55484,UDP,0.5164055824279785,0.016658244594450918,0.053850624514246125,3.23267101818066,7758,11783,1.5188192833204435,16,15,0.028728509771412815,0.07557297378545948,0.0,0.0
