src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.0.100,199.232.101.140,443,51334,TCP,114.35994791984558,6.018944627360294,10.127329462952328,1.6825756158175247,0,75,0.0,10,9,5.382900448406444,6.7295528564959675,0.11764705882352941,1.0
192.168.0.100,199.232.101.140,443,51346,TCP,114.33697175979614,6.725704221164479,10.513906344548465,1.5632424499821524,0,75,0.0,9,8,6.2255152861277265,6.988430447742307,0.13333333333333333,1.0
192.168.0.106,224.0.0.251,5353,5353,UDP,1966.6548142433167,2.8836580854007576,7.847898863506211,2.721508109174998,0,0,0.0,682,0,5.148325513390934,10.181204352192825,0.0,0.0
192.168.0.100,34.36.213.229,443,39856,TCP,3.996642589569092,0.7993285179138183,1.5690061435831164,1.9629052491184644,0,0,0.0,2,3,2.588259776433309,1.8240350061901318,0.0,0.0
192.168.0.1,192.168.0.100,53,33320,UDP,0.02675175666809082,0.01337587833404541,0.01337587833404541,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,46966,UDP,0.03113722801208496,0.01556861400604248,0.01556861400604248,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
151.101.156.157,192.168.0.100,80,43610,TCP,0.06219983100891113,0.015549957752227783,0.026713887997258486,1.7179395869053913,0,0,0.0,2,2,0.03087437152862549,0.030719637870788574,0.0,0.0
146.75.74.62,192.168.0.100,443,48728,TCP,483.41557025909424,7.006022757378178,11.447387462251982,1.6339352381058878,3078,4801,1.559779077322937,35,34,5.681087251919419,8.615371142334288,0.1694915254237288,1.0
151.101.157.140,192.168.0.100,443,55378,TCP,108.2586612701416,5.697824277375874,10.26417781319952,1.8014205622232131,0,75,0.0,10,9,5.558021040523753,8.784551460889466,0.11764705882352941,1.0
151.101.158.137,192.168.0.100,443,53752,TCP,108.13864278793335,6.361096634584315,10.57919793306398,1.6631091368029989,0,75,0.0,9,8,6.1876529057820635,8.889419725651761,0.13333333333333333,1.0
146.75.74.62,192.168.0.100,443,48742,TCP,64.00414824485779,2.4616980094176073,6.991975842746097,2.8403060879105437,1786,4371,2.4473684210526314,13,13,2.5689074794451394,6.731261352379943,0.18181818181818182,1.0
192.168.0.1,192.168.0.100,53,45700,UDP,0.01123046875,0.005615234375,0.005615234375,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,34690,UDP,0.011480569839477539,0.0057402849197387695,0.0057402849197387695,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,41535,UDP,0.009484052658081055,0.004742026329040527,0.004742026329040527,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
151.101.158.62,192.168.0.100,443,54868,TCP,482.0564444065094,0.5308991678485786,3.6902636765741725,6.950969035285243,36938,609902,16.511505766419404,523,385,0.3948896806150212,2.5332066931114303,0.21066666666666667,0.9430379746835443
192.168.0.1,192.168.0.100,53,42182,UDP,0.013667583465576172,0.006833791732788086,0.006833791732788086,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,59276,UDP,0.021518230438232422,0.010759115219116211,0.010759115219116211,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,52589,UDP,0.008876562118530273,0.004438281059265137,0.004438281059265137,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,59691,UDP,0.007570981979370117,0.0037854909896850586,0.0037854909896850586,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,33294,UDP,0.00644373893737793,0.003221869468688965,0.003221869468688965,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,49590,UDP,0.008552312850952148,0.004276156425476074,0.004276156425476074,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,207.65.33.79,443,51866,TCP,311.64820098876953,3.800587816936214,8.8934905199188,2.340030265920326,3571,7571,2.1201344161299356,42,40,3.062776130437851,6.440701864481746,0.41379310344827586,1.0
192.168.0.1,192.168.0.100,53,45631,UDP,0.010283231735229492,0.005141615867614746,0.005141615867614746,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,42131,UDP,0.0162961483001709,0.00814807415008545,0.00814807415008545,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
151.101.154.62,192.168.0.100,443,50406,TCP,480.9540693759918,0.7320457676955735,4.171580020367581,5.698523513768012,24477,240349,9.81938146014626,360,297,0.56276497730842,2.961206347868464,0.46,0.9951690821256038
192.168.0.1,192.168.0.100,53,34959,UDP,0.008771896362304688,0.004385948181152344,0.004385948181152344,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,55160,UDP,0.013950347900390625,0.0069751739501953125,0.0069751739501953125,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
151.101.154.62,192.168.0.100,443,50416,TCP,478.7104187011719,3.1288262660207313,8.22083110694213,2.6274488923277466,4688,19308,4.118600682593857,81,72,2.4774356571833294,5.918407175424414,0.5,0.9803921568627451
104.16.80.73,192.168.0.100,443,39566,TCP,3.3179664611816406,0.4147458076477051,1.0669462624221235,2.572530554253156,0,39,0.0,5,3,1.0985624392827351,1.5121247852816158,0.14285714285714285,1.0
192.168.0.1,192.168.0.100,53,55963,UDP,0.01790761947631836,0.00895380973815918,0.00895380973815918,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,51775,UDP,0.016696929931640625,0.008348464965820312,0.008348464965820312,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,57591,UDP,0.008838415145874023,0.004419207572937012,0.004419207572937012,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,49046,UDP,0.012611865997314453,0.0063059329986572266,0.0063059329986572266,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,33986,UDP,0.0134429931640625,0.00672149658203125,0.00672149658203125,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,51480,UDP,0.031410932540893555,0.015705466270446777,0.015705466270446777,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
184.86.112.90,192.168.0.100,443,43642,TCP,122.22305178642273,0.7452625108928215,4.3430567038601,5.827552896303795,3507,91311,26.03678357570573,84,80,0.9700462698936463,4.686863514286948,0.1310344827586207,0.9473684210526315
192.168.0.1,192.168.0.100,53,51253,UDP,0.011410236358642578,0.005705118179321289,0.005705118179321289,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,50000,UDP,0.009692668914794922,0.004846334457397461,0.004846334457397461,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53177,UDP,0.013444185256958008,0.006722092628479004,0.006722092628479004,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53362,UDP,0.009606122970581055,0.004803061485290527,0.004803061485290527,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,40328,UDP,0.04157233238220215,0.020786166191101074,0.020786166191101074,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,51138,UDP,0.044408321380615234,0.022204160690307617,0.022204160690307617,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,56791,UDP,0.04789924621582031,0.023949623107910156,0.023949623107910156,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,57669,UDP,0.0465083122253418,0.0232541561126709,0.0232541561126709,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
104.18.186.31,192.168.0.100,443,58944,TCP,400.37779474258423,5.268128878191898,10.31100309478982,1.9572419986674119,2398,15152,6.3185988323603,38,38,4.303475563590591,7.588062879957441,0.1875,1.0
142.250.193.42,192.168.0.100,443,35568,TCP,240.33187437057495,3.814791656675793,8.941153125441419,2.343811649528649,2412,8601,3.56592039800995,32,31,3.130398464984581,6.866977594050585,0.3125,1.0
104.18.86.42,192.168.0.100,443,42458,TCP,400.3768153190613,5.560789101653629,10.519303966449312,1.8916926670211525,2358,12386,5.25275657336726,37,35,4.622564934302067,7.780865270595851,0.3090909090909091,1.0
192.168.0.100,96.17.194.243,443,58218,TCP,0.13764715194702148,0.006256688724864613,0.011323833013740747,1.8098763597969756,1775,6659,3.7515492957746477,10,12,0.008518648147583009,0.012377169578238435,0.15789473684210525,1.0
192.168.0.100,96.17.194.243,443,58234,TCP,120.97445726394653,0.14789053455250187,1.9616375722112607,13.264118478893385,4884,804259,164.67219492219493,502,316,0.15196863898524532,1.836595483369489,0.05006418485237484,0.8974358974358975
104.18.86.42,192.168.0.100,443,42472,TCP,400.06931805610657,6.452730936388815,11.071527731966416,1.7157894604795731,2372,6886,2.903035413153457,32,30,5.2861437122027075,8.06766380297095,0.24,1.0
192.168.0.100,96.17.194.243,443,58246,TCP,0.030863285064697266,0.010287761688232422,0.014458486917162372,1.4054064776500999,0,0,0.0,1,2,0.00012826919555664062,0.0,0.0,0.0
192.168.0.100,96.17.194.243,443,58250,TCP,0.031491756439208984,0.010497252146402994,0.014760974617750604,1.406175102958599,0,0,0.0,1,2,0.00011944770812988281,0.0,0.0,0.0
192.168.0.100,96.17.194.243,443,58252,TCP,0.03180384635925293,0.010601282119750977,0.014903719668411015,1.4058412463756886,0,0,0.0,1,2,0.00012564659118652344,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,48337,UDP,0.004760265350341797,0.0023801326751708984,0.0023801326751708984,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,42900,UDP,0.011434316635131836,0.005717158317565918,0.005717158317565918,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
172.64.155.119,192.168.0.100,443,54786,TCP,400.4234278202057,5.411127402975753,10.426232393484248,1.9268133268772287,4087,5064,1.2390506483973576,37,37,4.4714659452438354,7.722535065235298,0.1935483870967742,1.0
151.101.158.62,192.168.0.100,443,36262,TCP,471.62800455093384,5.895350056886673,10.637356388955583,1.8043638267976165,2567,10130,3.946240747954811,40,40,4.517358620961507,7.509442083114065,0.17647058823529413,1.0
192.168.0.1,192.168.0.100,53,34584,UDP,0.011539697647094727,0.005769848823547363,0.005769848823547363,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,34850,UDP,0.006877899169921875,0.0034389495849609375,0.0034389495849609375,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
142.250.194.3,192.168.0.100,443,43992,TCP,240.33140301704407,2.731038670648228,7.723820635188546,2.8281623098933464,2533,38616,15.24516383734702,49,39,2.1448326027670572,5.808208664451044,0.5714285714285714,1.0
192.168.0.1,192.168.0.100,53,46505,UDP,0.012948036193847656,0.006474018096923828,0.006474018096923828,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
184.86.112.90,192.168.0.100,443,56931,UDP,0.23605895042419434,0.006942910306593951,0.013724771810817878,1.9768038480610834,4329,11256,2.6001386001386,19,15,0.010517636934916178,0.015456210576033755,0.0,0.0
192.168.0.1,192.168.0.100,53,46875,UDP,0.007085084915161133,0.0035425424575805664,0.0035425424575805664,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,35188,UDP,0.009030818939208984,0.004515409469604492,0.004515409469604492,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,96.17.194.243,443,49684,UDP,2.331973075866699,0.004383408037343419,0.04076419646743497,9.299658192929778,13819,271822,19.670164266589477,308,224,0.007741941776603859,0.05700742298672127,0.0,0.0
192.168.0.100,96.17.194.233,443,36518,TCP,120.51165676116943,2.8693251609802246,8.18703712551936,2.853297087710508,2469,6998,2.834345889023896,22,20,3.0661272764205934,7.718387100566439,0.4482758620689655,1.0
192.168.0.100,96.17.194.249,443,41686,TCP,122.78749370574951,2.0464582284291586,6.900327129274903,3.371838737491127,2628,9087,3.4577625570776256,29,31,2.03733059044542,6.206420737522071,0.5,1.0
192.168.0.100,96.17.194.249,443,41700,TCP,0.1319599151611328,0.005998177961869674,0.010668500871537043,1.778623598592196,1802,6407,3.5554938956714763,10,12,0.008737576007843018,0.012172574109260278,0.15789473684210525,1.0
192.168.0.1,192.168.0.100,53,50902,UDP,0.0053102970123291016,0.0026551485061645508,0.0026551485061645508,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,39114,UDP,0.014604806900024414,0.007302403450012207,0.007302403450012207,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,51974,UDP,0.01320195198059082,0.00660097599029541,0.00660097599029541,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,45092,UDP,0.008434534072875977,0.004217267036437988,0.004217267036437988,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,42568,UDP,0.008662939071655273,0.004331469535827637,0.004331469535827637,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
151.101.193.91,192.168.0.100,443,53618,TCP,470.52019119262695,6.535002655453152,11.008271511812076,1.6845091107386456,2470,4307,1.7437246963562754,36,36,4.957528277805873,7.574751937170173,0.16129032258064516,1.0
192.168.0.1,192.168.0.100,53,52240,UDP,0.014583587646484375,0.0072917938232421875,0.0072917938232421875,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,49939,UDP,0.014534473419189453,0.0072672367095947266,0.0072672367095947266,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
170.246.255.9,192.168.0.100,443,48014,TCP,125.31026911735535,5.22126121322314,11.994149220539608,2.2971747113827106,2632,9140,3.472644376899696,13,11,5.588187531991438,10.459807739115837,0.3333333333333333,1.0
170.246.255.9,192.168.0.100,443,48030,TCP,62.0914421081543,3.267970637271279,7.833005000354376,2.39690189104479,1979,6904,3.488630621526023,9,10,3.7755587521721337,8.146896720496652,0.26666666666666666,1.0
192.168.0.1,192.168.0.100,53,58710,UDP,0.015079021453857422,0.007539510726928711,0.007539510726928711,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
161.148.164.31,192.168.0.100,443,47240,TCP,127.2981584072113,0.11952878723681813,1.2563431316456743,10.510799621488056,20502,936377,45.672470978441126,601,464,0.18042446808381515,1.3950600266981994,0.06820461384152457,0.8676470588235294
161.148.164.31,192.168.0.100,443,47254,TCP,131.3845202922821,0.19124384322020685,1.6069434038788941,8.402588950424859,21316,641546,30.09692249953087,398,289,0.28159023655785453,1.7720169962743926,0.09047619047619047,0.9473684210526315
192.168.0.1,192.168.0.100,53,57083,UDP,0.01650834083557129,0.008254170417785645,0.008254170417785645,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,45798,UDP,0.01831793785095215,0.009158968925476074,0.009158968925476074,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
161.148.164.31,192.168.0.100,443,47256,TCP,140.27263832092285,0.07230548367057879,0.8639048622052247,11.94798538574397,23939,2072007,86.55361543924141,1083,857,0.1068444065479417,0.8693640313046619,0.041331186258722494,0.8701298701298701
161.148.164.31,192.168.0.100,443,47264,TCP,43.33144283294678,0.04333144283294678,0.1397953513601191,3.226187318503658,9491,978880,103.13770940891371,574,426,0.08054983353089235,0.17958308393060984,0.04384133611691023,0.8095238095238095
161.148.164.31,192.168.0.100,443,47274,TCP,43.336230754852295,0.08100230047635942,0.8342811259945914,10.299474472803114,6935,537288,77.47483777937995,303,232,0.15410597319847266,1.1345431845042206,0.046966731898238745,0.875
161.148.164.31,192.168.0.100,443,47278,TCP,43.349613428115845,0.04534478392062327,0.1652505206852026,3.6443115700909754,15543,1038445,66.81110467734672,526,430,0.08355679095856901,0.20515100466235628,0.047097480832420595,0.8372093023255814
192.168.0.1,192.168.0.100,53,33108,UDP,0.24579262733459473,0.12289631366729736,0.12289631366729736,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,47864,UDP,0.25702953338623047,0.12851476669311523,0.12851476669311523,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,40.85.112.191,443,48866,TCP,32.17979907989502,0.14365981732095992,1.9849703756982298,13.817157871386373,4057,162623,40.084545230465864,132,92,0.2839853151424511,2.810718172163777,0.14871794871794872,0.9310344827586207
192.168.0.100,40.85.112.191,443,48880,TCP,0.7759153842926025,0.03879576921463013,0.07621532213496382,1.9645266398332566,2382,2707,1.1364399664147775,8,12,0.0709254609213935,0.08794691347291318,0.6666666666666666,1.0
192.168.0.1,192.168.0.100,53,48052,UDP,0.020833730697631836,0.010416865348815918,0.010416865348815918,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,59846,UDP,0.01888871192932129,0.009444355964660645,0.009444355964660645,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,35468,UDP,0.012546062469482422,0.006273031234741211,0.006273031234741211,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.124.249.36,192.168.0.100,80,55896,TCP,60.161073446273804,4.010738229751587,8.648808608268897,2.1564131371407353,360,478,1.3277777777777777,7,8,4.7519746743715725,9.079619807789564,0.0,0.0
192.168.0.1,192.168.0.100,53,40719,UDP,0.015699386596679688,0.007849693298339844,0.007849693298339844,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,60616,UDP,0.01591205596923828,0.00795602798461914,0.00795602798461914,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,38104,UDP,0.029807090759277344,0.014903545379638672,0.014903545379638672,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,50763,UDP,0.02556920051574707,0.012784600257873535,0.012784600257873535,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,34595,UDP,0.01423954963684082,0.00711977481842041,0.00711977481842041,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
18.228.227.205,192.168.0.100,443,53952,TCP,168.89688992500305,1.4074740827083587,5.205510674096542,3.6984771073579834,4311,11799,2.7369519832985385,60,60,1.9901308811317056,5.791558510288719,1.2222222222222223,1.0
18.228.227.205,192.168.0.100,443,53962,TCP,61.63884949684143,2.201387482030051,6.549049819893062,2.9749645954440207,1914,4627,2.4174503657262276,14,14,2.4341346483964186,6.585236694446224,0.3333333333333333,1.0
192.168.0.1,192.168.0.100,53,54038,UDP,0.01428985595703125,0.007144927978515625,0.007144927978515625,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
189.9.113.44,192.168.0.100,443,34178,TCP,71.63481998443604,0.5116772856031145,3.397111644543747,6.639168358899434,2477,145188,58.61445296729915,79,61,0.57015664212025,3.408095601748343,0.08527131782945736,1.0
189.9.113.44,192.168.0.100,443,34182,TCP,1.043414831161499,0.07452963079724993,0.18146932776931796,2.4348614883520123,1794,3125,1.741917502787068,6,8,0.12444635232289632,0.214681864587356,0.2727272727272727,0.6666666666666666
189.9.113.44,192.168.0.100,443,34198,TCP,7.010421276092529,0.3338295845758347,1.0631341863306136,3.1846613824878234,1826,3691,2.021358159912377,11,10,0.6759952494972631,1.495928284513888,0.4,1.0
192.168.0.1,192.168.0.100,53,41455,UDP,0.013958454132080078,0.006979227066040039,0.006979227066040039,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,45614,UDP,0.02138662338256836,0.01069331169128418,0.01069331169128418,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
172.65.248.248,192.168.0.100,443,56558,TCP,61.62971901893616,0.5312906811977255,2.6792950476293225,5.042992739095671,2328,69424,29.8213058419244,64,52,0.5498328273946589,2.5748351667084566,0.09433962264150944,1.0
192.168.0.1,192.168.0.100,53,46151,UDP,0.00844430923461914,0.00422215461730957,0.00422215461730957,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,44855,UDP,0.011188745498657227,0.005594372749328613,0.005594372749328613,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
172.65.248.248,192.168.0.100,443,56562,TCP,151.67138504981995,0.6832044371613512,2.8650183376688014,4.193500776389389,57422,28978,0.5046497857963846,119,103,0.7779662977565419,2.84422274072752,0.734375,0.9893617021276596
172.65.248.248,192.168.0.100,443,56564,TCP,0.7492268085479736,0.041623711585998535,0.10991606317413453,2.6407078798592365,1825,6660,3.649315068493151,9,9,0.05928410589694977,0.11597303844382474,0.2,0.6666666666666666
172.65.248.248,192.168.0.100,443,56574,TCP,0.7486333847045898,0.046789586544036865,0.11540481187436687,2.466463595820654,1825,6660,3.649315068493151,8,8,0.06802174023219518,0.12156313338834322,0.14285714285714285,1.0
172.65.248.248,192.168.0.100,443,56588,TCP,0.7676639556884766,0.051177597045898436,0.12138152901524844,2.371770775137955,1761,5502,3.1243611584327087,7,8,0.0719465292417086,0.12507540281419932,0.15384615384615385,1.0
161.148.164.31,192.168.0.100,443,38648,TCP,83.44005250930786,0.12976680016999667,1.3552426580418329,10.443677861105016,14848,590873,39.794787176724135,345,298,0.18194403319523253,1.3884692910371899,0.07885906040268456,0.9148936170212766
161.148.164.31,192.168.0.100,443,38654,TCP,77.22796416282654,0.20985859826855038,1.8144179410554657,8.645907082318372,12709,275399,21.669604217483673,193,175,0.2766379101362733,1.8859654589994694,0.10843373493975904,0.8888888888888888
161.148.164.31,192.168.0.100,443,38670,TCP,83.42109227180481,0.21667816174494756,1.866076787665789,8.612205183198633,12072,362108,29.995692511597085,212,173,0.2730533360812434,1.880890519416802,0.0906515580736544,0.875
192.168.0.1,192.168.0.100,53,36510,UDP,0.0075190067291259766,0.0037595033645629883,0.0037595033645629883,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,34998,UDP,0.012569189071655273,0.006284594535827637,0.006284594535827637,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,36709,UDP,0.3827941417694092,0.1913970708847046,0.1913970708847046,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,48009,UDP,0.7227497100830078,0.3613748550415039,0.3613748550415039,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
170.246.255.25,192.168.0.100,443,52008,TCP,17.000715732574463,0.07870701728043733,0.2049954449806258,2.6045383507574176,14138,183919,13.008841420285755,115,101,0.11017226165449115,0.21846706334243676,0.1076923076923077,0.8571428571428571
170.246.255.25,192.168.0.100,443,52012,TCP,29.58020520210266,0.12376654896277264,0.5205197054055337,4.2056574233325295,29735,214420,7.211030771817724,135,104,0.16029646527415087,0.4606931828582569,0.23834196891191708,0.9347826086956522
192.168.0.1,192.168.0.100,53,56729,UDP,0.004897356033325195,0.0024486780166625977,0.0024486780166625977,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,52959,UDP,0.013883113861083984,0.006941556930541992,0.006941556930541992,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
170.246.255.25,192.168.0.100,443,43364,TCP,24.640790939331055,0.10903004840411971,0.48184207815907226,4.419351226674002,22793,270893,11.884920809020313,128,98,0.14304439617054804,0.33164208944830953,0.19576719576719576,0.918918918918919
170.246.255.25,192.168.0.100,443,43366,TCP,24.623923778533936,0.1009177204038276,0.4677707785015866,4.635169885227065,27322,270470,9.899348510357953,138,106,0.12678923349657495,0.3753816624520825,0.19607843137254902,0.975
170.246.255.25,192.168.0.100,443,43370,TCP,17.129987955093384,0.044725817115126326,0.13194625382974323,2.950113879196605,13374,471478,35.25332735157769,225,158,0.07513905137698694,0.16250987084313592,0.09116809116809117,0.84375
