src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.0.100,216.58.200.174,443,56452,TCP,26.076448440551758,4.34607474009196,9.696488194538036,2.2310909900120275,0,73,0.0,3,3,13.002026796340942,12.99036087119614,0.2,1.0
142.250.192.234,192.168.0.100,443,39814,TCP,27.812180995941162,4.635363499323527,10.345067116839644,2.2317704141971553,0,73,0.0,3,3,13.872720420360565,13.861109642058368,0.2,1.0
151.101.155.19,192.168.0.100,443,52724,TCP,125.21966314315796,6.956647952397664,11.309664753038723,1.6257348122871098,0,24,0.0,9,9,7.509191378951073,9.804609630965656,0.058823529411764705,1.0
130.211.9.172,192.168.0.100,443,47928,TCP,35.606175899505615,4.450771987438202,9.909072681246686,2.2263716742205437,0,73,0.0,4,4,10.080455382664999,12.615905854718138,0.14285714285714285,1.0
192.168.0.1,192.168.0.100,53,34833,UDP,0.010668039321899414,0.005334019660949707,0.005334019660949707,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,51842,UDP,0.010726690292358398,0.005363345146179199,0.005363345146179199,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
147.67.34.45,192.168.0.100,443,49008,TCP,1.3284006118774414,0.019252182780832485,0.06859526583605918,3.5629864216930653,2546,41996,16.494893951296152,36,33,0.03554907129771674,0.09057850160433123,0.15,1.0
147.67.34.45,192.168.0.100,443,49018,TCP,63.03361129760742,2.6264004707336426,7.141125417472425,2.718978121214571,2102,3351,1.594196003805899,12,12,2.8558989763259888,7.161370184689635,0.14285714285714285,1.0
192.168.0.1,192.168.0.100,53,46001,UDP,0.012055635452270508,0.006027817726135254,0.006027817726135254,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53596,UDP,0.010779380798339844,0.005389690399169922,0.005389690399169922,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,36113,UDP,0.07989382743835449,0.039946913719177246,0.039946913719177246,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,3.166.65.101,443,50836,TCP,123.8982162475586,0.053312485476574266,1.0384177596219668,19.477946870030134,14542,2315750,159.24563333791775,1365,959,0.06123617221782734,0.9390225411423562,0.047790802524797116,0.6698113207547169
192.168.0.100,35.190.14.201,443,56608,TCP,123.63958501815796,8.24263900121053,10.987799810586088,1.3330439206390572,0,0,0.0,7,8,7.591607313889724,7.708167536065325,0.0,0.0
192.168.0.100,3.166.65.101,443,50852,TCP,60.971019983291626,1.9668070962352138,6.334086606571752,3.220492044540726,1894,6257,3.3035902851108765,15,16,2.1476580603369353,6.3557566438297535,0.24,1.0
151.101.153.181,192.168.0.100,443,54408,TCP,123.03224921226501,6.835124956236945,10.548791476045336,1.5433209405220496,0,31,0.0,9,9,6.447536543011665,7.830956971836612,0.058823529411764705,1.0
192.168.0.1,192.168.0.100,53,46004,UDP,0.010729312896728516,0.005364656448364258,0.005364656448364258,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,47946,UDP,0.011314153671264648,0.005657076835632324,0.005657076835632324,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,53155,UDP,0.028781652450561523,0.014390826225280762,0.014390826225280762,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,40838,UDP,0.02892446517944336,0.01446223258972168,0.01446223258972168,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,34474,UDP,0.018270254135131836,0.009135127067565918,0.009135127067565918,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
147.67.34.30,192.168.0.100,443,50648,TCP,123.14738130569458,0.5892219201229406,4.293389690412102,7.2865410192415965,4218,29739,7.05049786628734,111,98,0.6004277659625542,3.982987432391903,0.8495575221238938,1.0
108.156.46.64,192.168.0.100,443,54860,TCP,123.1475567817688,1.6869528326269698,6.437607397120311,3.8161158229275975,2377,42364,17.82246529238536,42,31,1.7284099316932786,5.943965358421108,0.10606060606060606,1.0
147.67.34.30,192.168.0.100,443,50660,TCP,61.77375340461731,2.685815365418144,7.259017775232393,2.7027240474894914,1850,3358,1.815135135135135,12,11,2.959163643064953,7.424444471141798,0.15,1.0
108.156.46.64,192.168.0.100,443,54868,TCP,32.37035131454468,1.2450135120978723,5.731139747651314,4.603275138752696,1888,5973,3.163665254237288,13,13,2.59937376777331,8.212824889725844,0.23809523809523808,1.0
108.156.46.64,192.168.0.100,443,37412,UDP,27.102290391921997,0.03945020435505385,0.7588020991346401,19.234427591436095,19831,670788,33.82522313549493,490,197,0.07236715315372058,1.0475330136653345,0.0,0.0
108.156.46.64,192.168.0.100,443,52649,UDP,24.799941539764404,0.42758519896145525,1.1682016120094485,2.732090855452544,12241,12149,0.9924842741606078,31,27,0.6725119352340698,1.4437425841195581,0.0,0.0
192.168.0.1,192.168.0.100,53,53682,UDP,0.007890462875366211,0.0039452314376831055,0.0039452314376831055,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,33524,UDP,0.008524179458618164,0.004262089729309082,0.004262089729309082,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,54765,UDP,0.008043766021728516,0.004021883010864258,0.004021883010864258,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,3.67.108.110,443,53656,TCP,83.83314061164856,0.6448703123972966,3.2513308817267563,5.041836814661195,14551,32100,2.2060339495567316,65,65,0.7756590656936169,3.347686772804604,0.9117647058823529,1.0
192.168.0.100,3.67.108.110,443,53668,TCP,63.08531069755554,2.102843689918518,6.398823042835009,3.0429380336314744,1922,4654,2.421436004162331,15,15,2.313423548425947,6.392249250437692,0.30434782608695654,1.0
192.168.0.106,224.0.0.251,5353,5353,UDP,815.6742081642151,2.228618055093484,6.843138012523943,3.0705746087284993,0,0,0.0,366,0,3.8541583785643945,8.985989296881908,0.0,0.0
192.168.0.103,224.0.0.251,5353,5353,UDP,659.9121978282928,20.62225618213415,37.12796421311028,1.8003832308744014,0,0,0.0,32,0,17.316629886627197,36.87467867761183,0.0,0.0
192.168.0.100,239.255.255.250,1900,53715,UDP,3.0018060207366943,0.7504515051841736,0.43327349218616074,0.5773504206375442,688,0,0.0,0,4,0.5007034540176392,0.4999934434890747,0.0,0.0
192.168.0.1,192.168.0.100,67,68,UDP,0.002166271209716797,0.0010831356048583984,0.0010831356048583984,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,39859,UDP,0.014562129974365234,0.007281064987182617,0.007281064987182617,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
185.125.190.48,192.168.0.100,80,57370,TCP,0.7431545257568359,0.061929543813069664,0.10713595228157632,1.7299651456332261,87,189,2.1724137931034484,5,7,0.12422609329223633,0.12438952920548715,0.0,0.0
192.168.0.1,192.168.0.100,53,55954,UDP,49.043132305145264,12.260783076286316,21.224199496405816,1.7310639430083157,0,0,0.0,2,2,24.50474524497986,24.50060796737671,0.0,0.0
192.168.0.1,192.168.0.100,53,44036,UDP,0.008634328842163086,0.004317164421081543,0.004317164421081543,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,54.239.28.85,443,52442,TCP,76.10026264190674,1.6911169475979275,5.652447238059061,3.342434268716797,3018,10863,3.599403578528827,22,23,1.8062688805336176,5.629270733008808,0.25,1.0
192.168.0.100,54.239.28.85,443,52446,TCP,11.277886867523193,0.4903429072836171,1.9513044441978533,3.979469092369695,1848,7732,4.183982683982684,11,12,1.0017684754871188,2.8001483961548486,0.4375,1.0
192.168.0.1,192.168.0.100,53,48671,UDP,0.01397848129272461,0.006989240646362305,0.006989240646362305,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,44644,UDP,0.014283180236816406,0.007141590118408203,0.007141590118408203,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,41872,UDP,0.012153148651123047,0.0060765743255615234,0.0060765743255615234,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
18.67.196.17,192.168.0.100,443,45870,TCP,89.32572746276855,0.44220657159786414,3.291248290455606,7.442784666367683,3545,139456,39.33878702397743,106,96,0.4821315806115692,3.088587351890023,0.10989010989010989,0.85
192.168.0.1,192.168.0.100,53,37415,UDP,0.009586334228515625,0.0047931671142578125,0.0047931671142578125,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,58833,UDP,0.01607203483581543,0.008036017417907715,0.008036017417907715,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,38394,UDP,0.010452032089233398,0.005226016044616699,0.005226016044616699,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
103.211.149.19,192.168.0.100,443,35134,TCP,88.6612446308136,0.4162499747925521,3.227405717758306,7.753527719411297,4325,187797,43.42127167630058,120,93,0.4537026733872993,3.0447384393800827,0.13903743315508021,1.0
192.168.0.1,192.168.0.100,53,40787,UDP,0.012815237045288086,0.006407618522644043,0.006407618522644043,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,42244,UDP,0.010854721069335938,0.005427360534667969,0.005427360534667969,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.1,192.168.0.100,53,55474,UDP,0.008626937866210938,0.004313468933105469,0.004313468933105469,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
192.168.0.100,44.215.133.78,443,38046,TCP,88.63024926185608,2.161713396630636,5.9642384295505515,2.75903292214719,4628,8363,1.8070440795159897,18,23,2.65130554101406,6.187602037432791,0.5185185185185185,1.0
192.168.0.1,192.168.0.100,53,49650,UDP,0.008045196533203125,0.0040225982666015625,0.0040225982666015625,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
18.67.196.17,192.168.0.100,443,51060,UDP,42.82412767410278,0.03241796190318152,0.32465583013079147,10.014689729736821,65247,945043,14.484083559397368,866,455,0.055115908293184517,0.44831295537704996,0.0,0.0
103.211.149.19,192.168.0.100,443,37196,UDP,14.946533203125,0.020672936657157675,0.35371520358920633,17.110060822768403,17023,489171,28.735886741467425,468,255,0.04121008569848856,0.5033755112998727,0.0,0.0
103.211.149.19,192.168.0.100,443,43233,UDP,0.03937482833862305,0.0024609267711639404,0.004907649467671625,1.9942281603732819,2872,6611,2.3018802228412256,10,6,0.00450059345790318,0.006081792804637417,0.0,0.0
103.211.149.19,192.168.0.100,443,52368,UDP,36.64531683921814,0.01125470418894906,0.36157148083197393,32.1262535879885,53269,2123218,39.85841671516266,2067,1189,0.022279390440085624,0.5154135880380516,0.0,0.0
192.168.0.100,44.215.133.78,443,38062,TCP,11.176084756851196,0.6208935976028442,2.204341556011742,3.5502726465892036,1822,4278,2.3479692645444565,10,8,1.3388228118419647,3.160670123390723,0.5,1.0
192.168.0.1,192.168.0.100,53,46408,UDP,0.937225341796875,0.23430633544921875,0.394125470265901,1.682094807681032,0,0,0.0,2,2,0.4506969451904297,0.4482996463775635,0.0,0.0
192.168.0.1,192.168.0.100,53,55299,UDP,0.009030342102050781,0.004515171051025391,0.004515171051025391,1.0,0,0,0.0,1,1,0.0,0.0,0.0,0.0
