src_ip,dst_ip,src_port,dst_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio
192.168.1.19,34.120.195.249,443,60857,UDP,254.1073694229126,0.33612085902501665,2.530092717175231,7.527330271957095,674400,7340,0.010883748517200474,146,610,0.6151758615787213,3.401606691638432,0.0,0.0
192.168.1.10,224.0.0.251,5353,5353,UDP,300.090936422348,25.007578035195667,13.266057430476495,0.5304814969208872,0,0,0.0,12,0,12.790766167640687,9.539340578041172,0.0,0.0
142.250.183.194,192.168.1.19,443,59185,UDP,0.4349997043609619,0.01553570372717721,0.009749179891047633,0.6275338447651402,7363,7200,0.9778622843949477,15,13,0.008912966801570011,0.0070078930152995935,0.0,0.0
192.168.1.19,79.137.89.102,443,57670,TCP,33.03406071662903,4.719151530947004,5.373908276340828,1.1387445902298527,0,0,0.0,6,1,1.5313101768493653,1.4039578791251288,0.0,0.0
192.168.1.19,79.137.89.102,443,57671,TCP,33.016303300857544,4.716614757265363,5.356433949842998,1.1356522051312485,0,0,0.0,6,1,1.5350492477416993,1.3880707878051404,0.0,0.0
192.168.1.19,79.137.89.102,443,57672,TCP,32.852519512176514,4.693217073168073,5.346767707129894,1.1392542948201314,0,0,0.0,6,1,1.4139630794525146,1.3210998739457878,0.0,0.0
104.18.28.22,192.168.1.19,443,61010,UDP,11.86030888557434,0.4235824601990836,2.1483731103268786,5.071912348110788,5952,10324,1.7345430107526882,16,12,0.8956361642250648,3.084252320183967,0.0,0.0
192.168.1.19,79.137.89.102,443,57677,TCP,15.995525598526001,2.665920933087667,2.972632822984409,1.1150491322117002,0,0,0.0,5,1,2.049546778202057,1.716429544223872,0.0,0.0
192.168.1.19,79.137.89.102,443,57680,TCP,15.612526416778564,2.6020877361297607,2.8418577468971242,1.0921452445427484,0,0,0.0,5,1,2.0485499501228333,1.5475026378200605,0.0,0.0
192.168.1.19,79.137.89.102,443,57681,TCP,15.567071437835693,2.5945119063059487,2.8332763977518995,1.0920267472527818,0,0,0.0,5,1,1.9942179322242737,1.5455172444749556,0.0,0.0
192.168.1.19,79.137.89.102,443,57682,TCP,15.507999897003174,2.584666649500529,2.822311871127386,1.0919442442114462,0,0,0.0,5,1,1.9864087104797363,1.5226266926731717,0.0,0.0
192.168.1.10,239.255.255.250,1900,45582,UDP,0.0,0.0,0.0,0.0,0,125,0.0,1,0,0.0,0.0,0.0,0.0
142.250.183.194,192.168.1.19,443,62210,UDP,4.824703216552734,0.17869271172417533,0.7819552453971548,4.37597727323181,4944,4616,0.9336569579288025,15,12,0.35117440223693847,1.117731198750261,0.0,0.0
186.195.65.65,192.168.1.19,443,57689,TCP,1.9363443851470947,0.09681721925735473,0.10606383942834742,1.0955059465859454,1902,6149,3.232912723449001,10,10,0.08524166213141547,0.07488602206800507,0.3333333333333333,1.0
186.195.65.65,192.168.1.19,443,57690,TCP,38.23664999008179,0.013126210089283141,0.0403995832675381,3.0777797241354707,15500,3181546,205.26103225806452,1931,982,0.007813851476331176,0.044771869225962935,0.0853204172876304,0.9344978165938864
