flow_number,source_ip,dest_ip,source_port,dest_port,proto,duration,avg_duration,duration_std_dev,percent_std_dev,orig_payload_size,resp_payload_size,payload_ratio,inbound_packets,outbound_packets,avg_periodicity,periodicity_std,ssl_flow_ratio,ssl_tls_ratio,self_signed_cert_ratio,Public_key_average,average_validity,Std_dev_cert_validity,Cert_val_during_capture,avg_cert_age,total_certificates,avg_san_dns,Certificate_ssl_ratio,CN_in_SAN_DNS
1,192.168.30.12,23.50.13.214,49701,80,tcp,0.36722421646118164,0.020401345358954534,0.05562787349977811,0.9444444444444444,1860,658,0.35376344086021505,9,9,0.01785893738269806,0.04486257544424666,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
2,192.168.30.12,23.50.13.214,49706,80,tcp,0.07596397399902344,0.0058433826153094955,0.010498490665176479,0.7692307692307693,1590,658,0.4138364779874214,6,7,0.008489998904141512,0.011199209746865833,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
3,192.168.30.12,8.8.8.8,61212,53,udp,0.051347970962524414,0.025673985481262207,0.025673985481262207,0.0,41,209,5.097560975609756,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
4,192.168.30.12,23.50.13.214,49700,80,tcp,0.07483911514282227,0.005756855010986328,0.010313862886802295,0.7692307692307693,1590,658,0.4138364779874214,6,7,0.008317015387795189,0.010998061284837537,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
5,192.168.30.12,23.50.13.214,49704,80,tcp,0.39612603187561035,0.028294716562543596,0.07873095860788025,0.9285714285714286,1590,658,0.4138364779874214,6,8,0.035363356272379555,0.08354367905470382,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
6,192.168.30.12,199.232.214.172,49684,80,tcp,1.0642979145050049,0.1064297914505005,0.1980740731417218,0.9,245,5202,21.23265306122449,4,6,0.15679356455802917,0.20758051490889184,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
7,192.168.30.12,8.8.8.8,53443,53,udp,0.024361133575439453,0.012180566787719727,0.012180566787719727,0.0,34,129,3.7941176470588234,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
8,192.168.30.12,192.168.30.255,137,137,udp,24.59971284866333,1.1181687658483332,2.7331747778480415,0.9545454545454546,150,0,0.0,0,22,1.5631020571056164,3.8578915402038536,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
9,192.168.30.12,23.50.13.214,49705,80,tcp,0.05813908576965332,0.004844923814137776,0.008041304622656658,0.75,1596,658,0.41228070175438597,6,6,0.007486510276794434,0.008866184448303945,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
10,192.168.30.12,4.245.163.56,49676,443,tcp,10.885107040405273,0.3401595950126648,1.6133345292771555,0.96875,689,29981,43.51378809869376,12,20,0.6652902762095133,2.214078911529595,0.23076923076923078,1.0,0,0,0,0,0,0,0,0,0.0,0
11,192.168.30.12,192.168.30.255,138,138,udp,21.858202934265137,3.122600419180734,5.2328436205135445,0.8571428571428571,1309,0,0.0,0,7,3.467827844619751,5.472464852955103,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
12,192.168.30.12,8.8.8.8,53778,53,udp,0.03077101707458496,0.01538550853729248,0.01538550853729248,0.0,42,112,2.6666666666666665,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
13,192.168.30.12,23.50.13.214,49702,80,tcp,0.06746697425842285,0.004216685891151428,0.008635005823936904,0.8125,1590,658,0.4138364779874214,8,8,0.007438795907156808,0.009970804199413454,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
14,192.168.30.12,23.50.13.214,49707,80,tcp,0.07215213775634766,0.005550164442795973,0.009847050136066352,0.7692307692307693,1860,658,0.35376344086021505,6,7,0.008197741074995562,0.010644707097599215,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
15,192.168.30.12,23.50.13.214,49703,80,tcp,0.07500290870666504,0.005357350621904645,0.010015235409960997,0.7857142857142857,1804,658,0.3647450110864745,7,7,0.008498509724934896,0.01187269726297385,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
16,192.168.30.12,52.167.249.196,49675,443,tcp,61.5135760307312,3.237556633196379,9.18135014890737,0.8947368421052632,1157,5455,4.714779602420052,7,12,3.582009385613834,9.481590893152465,0.46153846153846156,1.0,0,0,0,0,0,0,0,0,0.0,0
17,192.168.30.12,8.8.8.8,62828,53,udp,0.05514812469482422,0.02757406234741211,0.02757406234741211,0.0,49,180,3.673469387755102,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0
